[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],ua variable [ m^3 s^-1 ]
7.49726919e-03, 2.56231573e-07
9.08004586e-03, 3.14466291e-07
1.09793767e-02, 3.69831866e-07
1.32585755e-02, 4.03137534e-07
1.42390304e-03, 3.75726685e-08
1.11715030e-03, 3.45370488e-08
1.79200619e-03, 4.42756338e-08
2.23373016e-03, 5.23658557e-08
2.76379869e-03, 6.38393942e-08
3.39988107e-03, 7.98170063e-08
4.16318001e-03, 9.88412694e-08
5.07913856e-03, 1.21095638e-07
6.17828872e-03, 1.51489402e-07
7.49726919e-03, 1.92087782e-07
9.08004586e-03, 2.34437010e-07
1.09793767e-02, 2.72383659e-07
1.32585755e-02, 2.96347054e-07
1.42390304e-03, 2.62721525e-08
1.11715030e-03, 2.41248284e-08
1.79200619e-03, 3.10134922e-08
2.23373016e-03, 3.68415982e-08
2.76379869e-03, 4.52468676e-08
3.39988107e-03, 5.71582071e-08
4.16318001e-03, 7.16390787e-08
5.07913856e-03, 8.87802756e-08
6.17828872e-03, 1.12153522e-07
7.49726919e-03, 1.43098291e-07
9.08004586e-03, 1.73848278e-07
1.09793767e-02, 1.99494608e-07
1.32585755e-02, 2.16479194e-07
1.42390304e-03, 1.80428046e-08
1.11715030e-03, 1.65433800e-08
1.79200619e-03, 2.13444498e-08
2.23373016e-03, 2.54542325e-08
2.76379869e-03, 3.14808695e-08
3.39988107e-03, 4.01590583e-08
4.16318001e-03, 5.09453635e-08
5.07913856e-03, 6.39553974e-08
6.17828872e-03, 8.17473094e-08
7.49726873e-03, 1.05102501e-07
9.08004586e-03, 1.27203066e-07
1.09793767e-02, 1.44188178e-07
1.32585755e-02, 1.56056032e-07
1.42390304e-03, 1.21524693e-08
1.11715030e-03, 1.11414753e-08
1.79200619e-03, 1.43880579e-08
2.23373016e-03, 1.72114429e-08
2.76379869e-03, 2.14115126e-08
3.39988107e-03, 2.75519110e-08
4.16318001e-03, 3.53432377e-08
5.07913856e-03, 4.49413768e-08
6.17828872e-03, 5.81625343e-08
7.49726919e-03, 7.53976011e-08
9.08004586e-03, 9.09724420e-08
1.09793767e-02, 1.01967679e-07
1.32585755e-02, 1.10077558e-07
1.42390304e-03, 8.00996425e-09
1.11715030e-03, 7.34952899e-09
1.79200619e-03, 9.48487067e-09
2.23373016e-03, 1.13707310e-08
2.76379869e-03, 1.42079646e-08
3.39988107e-03, 1.84082385e-08
4.16318001e-03, 2.38394140e-08
5.07913856e-03, 3.06692627e-08
6.17828872e-03, 4.01694926e-08
7.49726919e-03, 5.24794856e-08
9.08004586e-03, 6.31689119e-08
1.09793767e-02, 7.01406364e-08
1.32585755e-02, 7.55378480e-08
1.42390304e-03, 5.12496356e-09
1.11715030e-03, 4.70263162e-09
1.79200619e-03, 6.07280715e-09
2.23373016e-03, 7.28770688e-09
2.76379869e-03, 9.13291043e-09
3.39988107e-03, 1.18901822e-08
4.16318001e-03, 1.55047424e-08
5.07913856e-03, 2.01396855e-08
6.17828872e-03, 2.66550533e-08
7.49726919e-03, 3.50391893e-08
9.08004586e-03, 4.20986481e-08
1.09793767e-02, 4.64415066e-08
1.32585755e-02, 4.99251911e-08
1.42390304e-03, 3.13972226e-09
1.11715030e-03, 2.88731350e-09
1.79200619e-03, 3.71547615e-09
2.23373016e-03, 4.45751525e-09
2.76379869e-03, 5.59370150e-09
3.39988107e-03, 7.30355865e-09
4.16318001e-03, 9.56265911e-09
5.07913856e-03, 1.24954695e-08
6.17828872e-03, 1.66654637e-08
7.49726919e-03, 2.19674963e-08
9.08004586e-03, 2.63558828e-08
1.09793767e-02, 2.90284916e-08
1.32585755e-02, 3.11851132e-08
1.42390304e-03, 9.91343674e-10
1.11715030e-03, 9.14412268e-10
1.79200619e-03, 1.17044741e-09
2.23373016e-03, 1.40142165e-09
2.76379869e-03, 1.75698800e-09
3.39988107e-03, 2.29284214e-09
4.16318001e-03, 2.99965075e-09
5.07913856e-03, 3.92142008e-09
6.17828872e-03, 5.23810462e-09
7.49726919e-03, 6.89282498e-09
9.08004586e-03, 8.26362623e-09
1.09793767e-02, 9.14106035e-09
1.32585755e-02, 9.84674209e-09
2.03388613e-02, 1.48341295e-08
2.03388613e-02, 4.71309125e-09
1.90198813e-02, 5.82083182e-09
1.90198813e-02, 1.83571860e-08
